Classifier,Conf_Mtrx,Accuracy,Precision,Recall,F1_Score,ROC_AUC_Scr,CV_Score,FPR,TPR,Sample_Size
XGBClassifier,"[[36534  3276]
 [ 6012  7120]]",0.8245627290242151,0.6848787995382839,0.5421870240633567,0.6052363141788507,0.7299480711876694,0.8200073382657809,[0.         0.08229088 1.        ],[0.         0.54218702 1.        ],1:3
AdaBoostClassifier,"[[37160  2650]
 [ 6372  6760]]",0.8295870953118507,0.718384697130712,0.5147730734084679,0.5997693194925029,0.7241034420044098,0.8192729846027825,[0.         0.06656619 1.        ],[0.         0.51477307 1.        ],1:3
LGBMClassifier,"[[37323  2487]
 [ 6625  6507]]",0.8278871217558837,0.7234823215476984,0.49550715808711543,0.5881768055681099,0.716517708659232,0.8156574246048734,[0.         0.06247174 1.        ],[0.         0.49550716 1.        ],1:3
VotingClassifier,"[[36984  2826]
 [ 6216  6916]]",0.8292093234105248,0.7099158283719975,0.5266524520255863,0.6047040307773016,0.7278326314385656,0.820513066600153,[0.         0.07098719 1.        ],[0.         0.52665245 1.        ],1:3
StackingClassifier,"[[36929  2881]
 [ 6145  6987]]",0.8295115409315855,0.7080462099716255,0.5320590922936339,0.6075652173913044,0.7298451703618384,0.8208656058602989,[0.         0.07236875 1.        ],[0.         0.53205909 1.        ],1:3
