Classifier,Conf_Mtrx,Accuracy,Precision,Recall,F1_Score,ROC_AUC_Scr,CV_Score,FPR,TPR,Sample_Size
XGBClassifier,"[[23294  3281]
 [ 4604  8528]]",0.8014204044626893,0.7221610635955628,0.6494060310691441,0.6838538951926546,0.762972065393462,0.7971599649423249,[0.        0.1234619 1.       ],[0.         0.64940603 1.        ],1:2
AdaBoostClassifier,"[[23773  2802]
 [ 4968  8164]]",0.804316619235903,0.7444829472916287,0.6216874809625342,0.6775666030375964,0.7581250198791976,0.7973582715575933,[0.         0.10543744 1.        ],[0.         0.62168748 1.        ],1:2
LGBMClassifier,"[[23755  2820]
 [ 5083  8049]]",0.8009670838894906,0.7405465084184377,0.6129302467255558,0.6707220532477812,0.7534077386026651,0.7942904556646635,[0.         0.10611477 1.        ],[0.         0.61293025 1.        ],1:2
VotingClassifier,"[[23538  3037]
 [ 4778  8354]]",0.8031833178029063,0.7333860064963568,0.6361559549192811,0.6813195775394527,0.7609378081275615,0.7989746768306902,[0.         0.11428034 1.        ],[0.         0.63615595 1.        ],1:2
StackingClassifier,"[[23516  3059]
 [ 4771  8361]]",0.8028055506585741,0.7321366024518389,0.6366890039597929,0.6810850439882699,0.7607904097879867,0.7987134342795003,[0.         0.11510818 1.        ],[0.       0.636689 1.      ],1:2
